epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
387,1.240,1.535,1.268,0.450,0.604,0.487,0.339
388,1.239,1.535,1.267,0.453,0.602,0.488,0.339
389,1.241,1.536,1.267,0.452,0.601,0.488,0.340
390,1.239,1.535,1.268,0.451,0.604,0.488,0.340
391,1.237,1.532,1.266,0.452,0.605,0.489,0.340
392,1.240,1.533,1.267,0.453,0.604,0.490,0.340
393,1.239,1.540,1.266,0.455,0.603,0.490,0.341
394,1.240,1.536,1.267,0.450,0.608,0.490,0.341
395,1.236,1.530,1.266,0.453,0.601,0.489,0.340
396,1.235,1.528,1.265,0.453,0.602,0.489,0.341
397,1.239,1.532,1.267,0.456,0.600,0.490,0.341
398,1.239,1.530,1.266,0.456,0.596,0.490,0.341
399,1.233,1.526,1.263,0.457,0.597,0.490,0.341
400,1.238,1.531,1.267,0.458,0.598,0.489,0.341
401,1.234,1.528,1.263,0.458,0.600,0.490,0.341
402,1.235,1.528,1.264,0.457,0.601,0.490,0.341
403,1.236,1.526,1.264,0.452,0.609,0.490,0.341
404,1.234,1.527,1.265,0.457,0.600,0.490,0.341
405,1.233,1.522,1.263,0.458,0.599,0.490,0.341
406,1.235,1.525,1.265,0.458,0.596,0.491,0.341
407,1.234,1.522,1.263,0.458,0.598,0.491,0.341
408,1.233,1.523,1.262,0.456,0.601,0.491,0.342
409,1.235,1.520,1.264,0.456,0.601,0.491,0.342
410,1.229,1.516,1.261,0.456,0.604,0.491,0.342
411,1.234,1.522,1.264,0.461,0.594,0.491,0.342
412,1.229,1.518,1.260,0.458,0.601,0.492,0.342
413,1.232,1.521,1.262,0.457,0.605,0.492,0.343
414,1.234,1.521,1.263,0.460,0.603,0.492,0.343
415,1.229,1.515,1.261,0.459,0.600,0.493,0.343
416,1.228,1.513,1.261,0.459,0.601,0.492,0.343
417,1.229,1.517,1.260,0.458,0.600,0.492,0.342
418,1.230,1.514,1.261,0.459,0.602,0.493,0.343
419,1.230,1.516,1.262,0.456,0.607,0.493,0.343
420,1.228,1.515,1.260,0.459,0.601,0.492,0.343
421,1.229,1.510,1.259,0.456,0.602,0.492,0.343
422,1.227,1.511,1.259,0.457,0.603,0.493,0.343
423,1.229,1.510,1.261,0.456,0.600,0.492,0.343
424,1.226,1.512,1.259,0.455,0.602,0.492,0.343
425,1.228,1.511,1.258,0.454,0.606,0.493,0.343
426,1.227,1.509,1.259,0.455,0.605,0.493,0.343
427,1.226,1.508,1.258,0.453,0.608,0.493,0.343
428,1.227,1.505,1.258,0.452,0.606,0.493,0.343
429,1.223,1.502,1.257,0.456,0.604,0.493,0.343
430,1.225,1.505,1.257,0.456,0.598,0.493,0.343
431,1.224,1.506,1.257,0.458,0.596,0.493,0.343
432,1.225,1.503,1.257,0.460,0.597,0.492,0.342
433,1.221,1.502,1.256,0.459,0.596,0.492,0.342
434,1.226,1.504,1.258,0.457,0.603,0.493,0.343
435,1.223,1.507,1.257,0.460,0.597,0.492,0.343
436,1.224,1.500,1.257,0.460,0.596,0.492,0.342
437,1.224,1.500,1.255,0.459,0.598,0.493,0.343
438,1.223,1.501,1.258,0.458,0.601,0.493,0.343
439,1.225,1.499,1.256,0.458,0.602,0.494,0.344
440,1.220,1.495,1.254,0.457,0.604,0.494,0.344
441,1.221,1.495,1.254,0.456,0.606,0.494,0.345
442,1.222,1.497,1.256,0.459,0.607,0.495,0.345
443,1.224,1.496,1.256,0.459,0.606,0.495,0.345
444,1.222,1.498,1.255,0.457,0.609,0.496,0.345
445,1.220,1.493,1.254,0.457,0.609,0.495,0.345
446,1.221,1.492,1.254,0.459,0.608,0.496,0.345
447,1.220,1.492,1.255,0.458,0.613,0.496,0.345
448,1.220,1.490,1.252,0.459,0.610,0.496,0.345
449,1.220,1.492,1.254,0.457,0.613,0.496,0.345
450,1.217,1.485,1.250,0.457,0.614,0.497,0.346
451,1.215,1.489,1.252,0.457,0.618,0.497,0.346
452,1.217,1.487,1.253,0.456,0.617,0.497,0.346
453,1.218,1.486,1.252,0.459,0.617,0.497,0.346
454,1.219,1.487,1.251,0.460,0.615,0.497,0.346
455,1.215,1.486,1.251,0.458,0.619,0.498,0.347
456,1.217,1.482,1.251,0.459,0.617,0.497,0.347
457,1.216,1.481,1.251,0.458,0.618,0.497,0.347
458,1.218,1.485,1.252,0.458,0.615,0.497,0.346
459,1.215,1.479,1.250,0.458,0.617,0.497,0.347
460,1.215,1.479,1.250,0.457,0.618,0.497,0.347
461,1.216,1.477,1.250,0.457,0.618,0.497,0.347
